Title,Website,Phone Number,Category,Reviews,Rating,Longitude,Latitude,Facility Wifi,Facility Projector,Facility Food & Drink,Facility Whiteboard,Facility AV Equipment,Facility Stationeries,Harga,Kapasitas,Size Room,Address,Kabupaten,Review,Image,Review_preprocessed,clean stopword
Ambhara Meeting Room,https://ambharahotel.com/meetings/,212700888,Meeting room,5,4.4,106.803342,-6.243314,Yes,Yes,Yes,No,Yes,Yes,200000,20,Medium,Jl. Iskandarsyah II. RT.5/RW.2. Melawai. Kec. Kby. Baru. Kota Jakarta Selatan. Daerah Khusus Ibukota Jakarta 12160,Jakarta Selatan,"Karena letak strategis didepan terminal blok dan pusat belanja Pasaraya, Ruangan nyaman Snack nya juga enak Pelayan dan teknisi cukup sigap melayani tamu, Bagus",https://ambharahotel.com/wp-content/uploads/2020/02/Grand-Ballroom-1-1.jpeg,karena letak strategis didepan terminal blok dan pusat belanja pasaraya ruangan nyaman snack juga enak pelayan dan teknisi cukup sigap melayani tamu bagus,letak strategis terminal blok pusat belanja pasaraya ruang nyaman snack layan teknisi sigap layan tamu bagus
Regus - Jakarta. The Vida,http://regus.com,2129778000,Office space rental agency,8,4.5,106.7595579,-6.1912112,Yes,Yes,No,No,No,Yes,190000,50,Medium,Jl. Raya Pejuangan No. 8 The Vida 7th floor. RT.1/RW.7. Kebon Jeruk. Kebonjeruk. West Jakarta City. Jakarta 11530,Jakarta Barat,"Ruangan bersih, nyaman serta pelayananya ramah, Great Office in West Java, wifi cepat, bersih dan nyaman, tampatnya terbuka, suasananya menyenangkan, ruang bersamanya bagus, staffnya sangat membantu, ruang meetingnya baik, ruangan bersih dan tidak berisik","https://assets.iwgplc.com/image/upload/c_fill,f_auto,q_auto,w_584/CentreImagery/3296/3296_3.jpg",ruangan bersih nyaman serta pelayana ramah great office in west java wifi cepat bersih dan nyaman tampat terbuka suasana menyenangkan ruang bersama bagus staff sangat membantu ruang meeting baik ruangan bersih dan tidak berisik,ruang bersih nyaman pelayana ramah great office in west java wifi cepat bersih nyaman tampat buka suasana senang ruang bagus staff bantu ruang meeting ruang bersih berisik
Wellspaces Kemang Coworking Space & Serviced Office,http://wellspaces.co,81318391205,Coworking space,345,4.6,106.8134905,-6.254505,No,Yes,Yes,No,No,No,150000,15,Small,Jl. Bangka XII No.4. RT.2/RW.7. Pela Mampang. Kec. Mampang Prpt.. Kota Jakarta Selatan. Daerah Khusus Ibukota Jakarta 12720,Jakarta Selatan,"Tempatnya asik, ke sini karena ada event ngumpulnya para start up jadi biar bisa sharing, Welspace kemang tempat nya mantep buat ngantor pokoknya sip, space buat parkir juga luas, Tempat yang bagus untuk bekerja Komunitas yang sangat nyaman, hidup dan konstruktif, Nyaman, Lokasi Strategis, Fasilitas Lengkap, Tempat kerja bersama yang sangat baik, Sinyal wifi kuat. Berbagai makanan ringan tersedia. Tempat parkir luas, cocok buat startup, Sekarang akses kesini, bisa dengan transjakarta loh, Tempat yang bagus untuk memulai startup Anda, space buat parkir juga luas, ",https://dfbok4z7i5u6t.cloudfront.net/thumbnail_500_320/property/2021/11/25/619f29292158e.jpg,tempat asik ke sini karena ada event ngumpul para start up jadi biar bisa sharing welspace kemang tempat mantep buat ngantor pokok sip space buat parkir juga luas tempat yang bagus untuk bekerja komunitas yang sangat nyaman hidup dan konstruktif nyaman lokasi strategis fasilitas lengkap tempat kerja bersama yang sangat baik sinyal wifi kuat berbagai makanan ringan tersedia tempat parkir luas cocok buat startup sekarang akses kesini bisa dengan transjakarta loh tempat yang bagus untuk memulai startup anda space buat parkir juga luas,asik event ngumpul start up biar sharing welspace kemang mantep ngantor pokok sip space parkir luas bagus komunitas nyaman hidup konstruktif nyaman lokasi strategis fasilitas lengkap sinyal wifi kuat makan ringan sedia parkir luas cocok startup akses kesini transjakarta loh bagus startup space parkir luas
US Coworking Space - PIK Avenue,http://betterwithus.id,8111085505,Coworking space,7496,4.3,106.7403778,-6.1097177,Yes,No,No,No,No,No,95000,12,Small,PIK Avenue. Level 6. Jl. Pantai Indah Kapuk. RT.6/RW.2. Kamal Muara. Kec. Penjaringan. Kota Jkt Utara. Daerah Khusus Ibukota Jakarta 14470,Jakarta Utara,"Tempatnya sepi enak buat kerja wifinya juga kencang untuk ukuran kantoran jadi mau doownload cepat juga,  Akses menuju mall bagus, Parkiran luas,  Pemandangan bagus,  Tempatnya tenang, enak buat ngerjain tugas atau kerjaan.. WiFi kencang, ada semacam kedai kopi, Unionspace memiliki banyak ruang kerja kantor yang bisa pribadi atau tim, tempatnya nyaman dan ada semacam bar untuk memesan kopi atau minuman lainnya, Parkiran tidak rapi karena makin siang makin penuh,  parkiran di basement dibikin paralel jadi lama2in, Parkiran mudah dapet ya, tinggal naik ajah ke atas, byk yg kosong loh, Parkir mobil gedung, jalan naiknya sempit jadi siap2 buat mobil gede, ga ada parkiran pas Jumat malem,  parkiran waktu itu kesana sih gak susah cari, diskriminasi utk parkir motor, pelayanan seadanya",https://s3-ap-southeast-1.amazonaws.com/xwork-gallery/rooms/images/799/1510822454.98/799_1510822454.98.lg.JPEG,tempat sepi enak buat kerja wifi juga kencang untuk ukuran kantoran jadi mau doownload cepat juga akses menuju mall bagus parkiran luas pemandangan bagus tempat tenang enak buat ngerjain tugas atau kerjaan wifi kencang ada semacam kedai kopi unionspace memiliki banyak ruang kerja kantor yang bisa pribadi atau tim tempat nyaman dan ada semacam bar untuk memesan kopi atau minuman lain parkiran tidak rapi karena makin siang makin penuh parkiran di basement dibikin paralel jadi lama in parkiran mudah dapet ya tinggal naik ajah ke atas byk yg kosong loh parkir mobil gedung jalan naik sempit jadi siap buat mobil gede ga ada parkiran pas jumat malem parkiran waktu itu kesana sih gak susah cari diskriminasi utk parkir motor pelayanan seada,sepi wifi kencang ukur kantor doownload cepat akses mall bagus parkir luas pandang bagus tenang ngerjain tugas wifi kencang kedai kopi unionspace milik ruang kantor pribadi tim nyaman bar mes kopi minum parkir rapi siang penuh parkir basement bikin paralel in parkir mudah dapet tinggal ajah byk yg kosong loh parkir mobil gedung jalan sempit mobil gede ga parkir pas jumat malem parkir kesana sih gak susah cari diskriminasi utk parkir motor layan
MARQUEE - Equity Tower,http://marqueeoffices.com,2175999999,Office space rental agency,198,4.4,106.8086606,-6.2268442,Yes,Yes,Yes,Yes,No,Yes,250000,20,Medium,Equity Tower Building 35-37th floor. Jl. Jend. sudirman kav 52-53. RT.5/RW.3. Senayan. SCBD. South Jakarta City. Jakarta 12190,Jakarta Selatan,"Nice looking,  bersih aman sudah pasti,  yg luar biasa akses lift gak ribet sampai lantai 49, Nice Office,Nice View. Trouble hanya di sinyal hp, Kantornya bagus dan bersih, keamanan bagus sekali, Banyak fasilitas untuk menunjang kinerja perkantoran, Bagus dan strategis, Tmptnya bagus dan bersih, Pusat kawasan perkantoran di kawasan SCBD Sudirman Jakpus, ",https://marqueeoffices.com/images/service/meet-back.png,nice looking bersih aman sudah pasti yg luar biasa akses lift gak ribet sampai lantai nice office nice view trouble ha di sinyal hp kantor bagus dan bersih keamanan bagus sekali banyak fasilitas untuk menunjang kinerja perkantoran bagus dan strategis tmpt bagus dan bersih pusat kawasan perkantoran di kawasan scbd sudirman jakpus,nice looking bersih aman yg akses lift gak ribet lantai nice office nice view trouble ha sinyal hp kantor bagus bersih aman bagus fasilitas tunjang kantor bagus strategis tmpt bagus bersih pusat kawasan kantor kawasan scbd sudirman jakpus
GoWork Plaza Indonesia - Coworking and Office Space,http://go-work.com,2129922823,Coworking space,170,4.8,106.8218765,-6.1925892,Yes,Yes,No,Yes,No,No,130000,7,Small,Plaza Indonesia. Level 5 Unit E021AB. Jl. M.H. Thamrin No.Kav. 28-30. Daerah Khusus Ibukota Jakarta 10350,Jakarta Pusat,"ruang meeting yang didesain menarik, perencanaan yang fleksibel, mesin pencetak, ruang acara eksklusif dan workshop, hingga makanan dan minuman,  Ke sini buat ngungsi virtual meeting karena kantor lagi tutup. Tempatnya nyaman banget..millenial banget.. free teh, kopi, dan air putih, tp self service, tempat ini juga cocok untuk mengadakan konferensi ataupun pertemuan (meeting). Lokasinya cukup strategis, dapat dijangkau dengan Transjakarta & MRT Jakarta, Bagus banget nih kantornya, saya sewa room meeting dan fasilitasnya bagus banget.. semuanya siap membantu dari karyawan hingga OB nya.. good job, Nyaman untuk meeting & bekerja, Protokol kesehatan ketat, Tempatnya keren, sangat strategis, akses mudah dan recomended banget deh pokonya buat kerja, nyaman dan asik bgt",https://ofiskita.com///laravel-filemanager/photos/shares/Artikel%20-%20Office%20Services/Oktober%202019/5%20Coworking%20Space%20Yang%20Dekat%20Dengan%20Stasiun%20MRT-ofiskita.png,ruang meeting yang didesain menarik perencanaan yang fleksibel mesin pencetak ruang acara eksklusif dan workshop hingga makanan dan minuman ke sini buat ngungsi virtual meeting karena kantor lagi tutup tempat nyaman banget millenial banget free teh kopi dan air putih tp self service tempat ini juga cocok untuk mengadakan konferensi ataupun pertemuan meeting lokasi cukup strategis dapat dijangkau dengan transjakarta mrt jakarta bagus banget nih kantor saya sewa room meeting dan fasilitas bagus banget semua siap membantu dari karyawan hingga ob good job nyaman untuk meeting bekerja protokol kesehatan ketat tempat keren sangat strategis akses mudah dan recomended banget deh poko buat kerja nyaman dan asik bgt,ruang meeting desain tarik rencana fleksibel mesin cetak ruang acara eksklusif workshop makan minum ngungsi virtual meeting kantor tutup nyaman banget millenial banget free teh kopi air putih tp self service cocok konferensi temu meeting lokasi strategis jangkau transjakarta mrt jakarta bagus banget nih kantor sewa room meeting fasilitas bagus banget bantu karyawan ob good job nyaman meeting protokol sehat ketat keren strategis akses mudah recomended banget deh poko nyaman asik bgt
Apiary Coworking Space (Puri),http://apiary.id,2130497711,Event venue,162,4.6,106.7385123,-6.1885088,Yes,Yes,Yes,Yes,No,No,150000,12,Small,Lippo St. Moritz Office Tower (Floor 9. Unit 901. Jl. Puri Indah Raya. RT.1/RW.2. South Kembangan. Kembangan. West Jakarta City. Jakarta 11610,Jakarta Barat,"fasilitanya cukup lengkap ada wifi , proyektor , TV, dan sebagainya, Nyaman untuk bekerja. Ada beberapa ruang tertutup, bisa digunakan untuk meeting maupun training, dilengkap dengan sarana yang diperlukan, seperti Layar, LCD Proyektor, Flipchart , Tempat yang bagus untuk bekerja. Mudah diakses. Memiliki WiFi dan minuman. Dan berbiaya rendah, Tempat yang bagus. Lingkungan yang bagus, Suasana tempat nyaman, begitu dekat dengan Mall tetapi sulit untuk menemukan masjid, Ruang kerja bersama yang nyaman, terintegrasi dengan mal besar",https://s3-ap-southeast-1.amazonaws.com/xwork-gallery/rooms/images/825/1523934628.92/825_1523934628.92.ori.JPEG,fasilita cukup lengkap ada wifi proyektor tv dan sebagai nyaman untuk bekerja ada beberapa ruang tertutup bisa digunakan untuk meeting maupun training dilengkap dengan sarana yang diperlukan seperti layar lcd proyektor flipchart tempat yang bagus untuk bekerja mudah diakses memiliki wifi dan minuman dan berbiaya rendah tempat yang bagus lingkungan yang bagus suasana tempat nyaman begitu dekat dengan mall tetapi sulit untuk menemukan masjid ruang kerja bersama yang nyaman terintegrasi dengan mal besar,fasilita lengkap wifi proyektor tv nyaman ruang tutup meeting training lengkap sarana layar lcd proyektor flipchart bagus mudah akses milik wifi minum biaya rendah bagus lingkung bagus suasana nyaman mall sulit temu masjid ruang nyaman integrasi mal
MULA by Galeria Jakarta,http://mulaindonesia.com,8111123423,Coworking space,505,4.7,106.799757,-6.291122,Yes,Yes,No,No,No,No,70000,5,Small,Jl. T.B. Simatupang Kav. 17. Cilandak Barat. RT.2/RW.1. Cilandak. RT.6/RW.9. Cilandak Bar.. Kec. Cilandak. Daerah Khusus Ibukota Jakarta 12430,Jakarta Selatan,"bagi yg perlu bisnis, rapat dlsb dgn ruang rapat, kantor virtual, Mula mjd salah satu pilihan..strategis lokasinya di Citos, Terletak di dekat tempat parkir, ada beberapa konsep ruang meeting yang sesuai dengan jumlah peserta meeting. Banyak ruang khusus yang bisa dijadikan tempat seminar , Tempat meet up yg strategis dgn fasilitas yg memadai dan harga wajar. Banyak orang sering ke Citos, tapi tidak tahu kalau ada ruang pertemuan dgn berbagai ukuran (4-70 orang). Parkir luas dan banyak kuliner pendukung, Tempat yang menyenangkan untuk bertemu dan bekerja. Banyak tempat parkir luas, Musala terletak di dekat parkir mobil, Parkir luas dan banyak kuliner pendukung, Tempat yang mudah ditemukan karena berada di dekat dengan parkir kendaran di citos, Tempat yang bagus untuk bekerja dan hangout pada saat yang sama, banyak tempat parkir",https://mulaindonesia.com/wp-content/uploads/2020/07/SMOKING-AREA_RUANG-BALE-391x260.jpg,bagi yg perlu bisnis rapat dlsb dgn ruang rapat kantor virtual mula mjd salah satu pilihan strategis lokasi di citos terletak di dekat tempat parkir ada beberapa konsep ruang meeting yang sesuai dengan jumlah peserta meeting banyak ruang khusus yang bisa dijadikan tempat seminar tempat meet up yg strategis dgn fasilitas yg memadai dan harga wajar banyak orang sering ke citos tapi tidak tahu kalau ada ruang pertemuan dgn berbagai ukuran orang parkir luas dan banyak kuliner pendukung tempat yang menyenangkan untuk bertemu dan bekerja banyak tempat parkir luas musala terletak di dekat parkir mobil parkir luas dan banyak kuliner pendukung tempat yang mudah ditemukan karena berada di dekat dengan parkir kendaran di citos tempat yang bagus untuk bekerja dan hangout pada saat yang sama banyak tempat parkir,yg bisnis rapat dlsb dgn ruang rapat kantor virtual mjd salah pilih strategis lokasi citos letak parkir konsep ruang meeting sesuai meeting ruang seminar meet up yg strategis dgn fasilitas yg harga wajar citos ruang temu dgn ukur parkir luas kuliner dukung senang temu parkir luas musala letak parkir mobil parkir luas kuliner dukung mudah temu parkir kendaran citos bagus hangout parkir
GoWork Pacific Place - Coworking and Office Space,http://go-work.com,215152000,Coworking space,224,4.7,106.8099103,-6.224618,Yes,Yes,No,Yes,No,No,130000,20,Medium,Pacific Place Mall. Level 1. Jl. Jenderal Sudirman Jl. Scbd No.52-53. RT.5/RW.3. Senayan. Kec. Kby. Baru. Kota Jakarta Selatan. Daerah Khusus Ibukota Jakarta 12190,Jakarta Selatan,"tempatnya sangat cozy untuk mengadakan meeting dan event,facilitas yang di sediakan juga lengkap sangat recommend,  Tempat yang nyaman untuk meeting, SANGAT SANGAT MEREKOMENDASIKAN UNTUK TINGGAL selama sehari dan tetap fokus untuk rapat. wifi sangat cepat ï¸ Sangat Senang, empat utama, mudah dijangkau. Wi-Fi super. Tempat yang strategis. Harga yang wajar",https://go-work.com/assets/images/meeting-room/pp.jpg,tempat sangat cozy untuk mengadakan meeting dan event facilitas yang di sediakan juga lengkap sangat recommend tempat yang nyaman untuk meeting sangat sangat merekomendasikan untuk tinggal selama sehari dan tetap fokus untuk rapat wifi sangat cepat sangat senang empat utama mudah dijangkau wi fi super tempat yang strategis harga yang wajar,cozy meeting event facilitas sedia lengkap recommend nyaman meeting rekomendasi tinggal fokus rapat wifi cepat senang utama mudah jangkau wi fi super strategis harga wajar
GoWork Setiabudi,http://go-work.com,2129264178,Coworking space,147,4.6,106.8300604,-6.216292,Yes,Yes,No,Yes,No,No,130000,20,Medium,Setiabudi 2 Building. Ground. Jl. H. R. Rasuna Said No.Kav. 62. RT.6/RW.7. Kuningan. Karet Kuningan. Kecamatan Setiabudi. Kota Jakarta Selatan. Daerah Khusus Ibukota Jakarta 12920,Jakarta Selatan,"Bersih, nyaman, dan tenang. Udah gitu sekelilingnya rame banget kan karena di setiabudi one. Overall gue recommend ini tempat buat kalian yg pengen kerja sambil nyantai, Tempat bekerja yang nyaman. Ada ruang pribadi kecil tertutup yang bisa digunakan untuk kepentingan rapat. Petugas ramah, Tempatnya nyaman untuk meeting,bersih dan staffnya helpfull, untuk staff front desk dimohon lebih ramah, sama sekali tidak ada senyum. Terkesan jutek. Staff front desk laki laki dan perempuan sama-sama jutek, tidak senyum sama sekali, Ruangan nya lumayan bagus, modern dan memadai utk pertemuan",https://blog.go-work.com/wp-content/uploads/2018/07/Kuningan-Meeting-Room-500x333.jpg,bersih nyaman dan tenang udah gitu sekeliling rame banget kan karena di setiabudi one overall gue recommend ini tempat buat kalian yg pengen kerja sambil nyantai tempat bekerja yang nyaman ada ruang pribadi kecil tertutup yang bisa digunakan untuk kepentingan rapat petugas ramah tempat nyaman untuk meeting bersih dan staff helpfull untuk staff front desk dimohon lebih ramah sama sekali tidak ada senyum terkesan jutek staff front desk laki laki dan perempuan sama sama jutek tidak senyum sama sekali ruangan lumayan bagus modern dan memadai utk pertemuan,bersih nyaman tenang udah gitu keliling rame banget setiabudi one overall gue recommend yg ken nyantai nyaman ruang pribadi tutup rapat tugas ramah nyaman meeting bersih staff helpfull staff front desk ramah senyum kes jutek staff front desk laki laki perempuan jutek senyum ruang lumayan bagus modern utk temu
GoWork Central Park - Coworking and Office Space,http://go-work.com,2150928959,Coworking space,119,4.9,106.7913133,-6.177408,Yes,Yes,No,Yes,No,No,130000,14,Small,Central Park Mall. Level LG. Unit L109-114. Jl. Letjen S. Parman. Daerah Khusus Ibukota Jakarta 11470,Jakarta Barat,"tempat dan fasilitas ruang kerja yang unik, beda banget vibesnya. Kerja jadi lebih asik, Lokasi startegis .coworking space dengan tempat yg cozy .internet stabil dan meeting room yang oke, Fasilitas dan fasilitasnya bagus, Anda dapat memiliki ruang pertemuan dan fasilitas lainnya seperti percetakan, empat yang sangat nyaman untuk bekerja. Lokasi sangat bagus. Dan, saya sangat menyukai desainnya, Ruang, suasana, dan layanan hebat untuk membangun sebuah startup. Saya dan tim saya sangat menikmati bekerja di sini! Banyak ruang bersama dengan berbagai desain untuk membantu kita fokus dan lebih kreatif. Terima kasih juga untuk semua staf yang membantu",https://www.centralparkjakarta.com/wp-content/uploads/2020/07/gowork-photo-1.jpg,tempat dan fasilitas ruang kerja yang unik beda banget vibes kerja jadi lebih asik lokasi startegis coworking space dengan tempat yg cozy internet stabil dan meeting room yang oke fasilitas dan fasilitas bagus anda dapat memiliki ruang pertemuan dan fasilitas lain seperti percetakan empat yang sangat nyaman untuk bekerja lokasi sangat bagus dan saya sangat menyukai desain ruang suasana dan layanan hebat untuk membangun sebuah startup saya dan tim saya sangat menikmati bekerja di sini banyak ruang bersama dengan berbagai desain untuk membantu kita fokus dan lebih kreatif terima kasih juga untuk semua staf yang membantu,fasilitas ruang unik beda banget vibes asik lokasi startegis coworking space yg cozy internet stabil meeting room oke fasilitas fasilitas bagus milik ruang temu fasilitas cetak nyaman lokasi bagus suka desain ruang suasana layan hebat bangun buah startup tim nikmat ruang desain bantu fokus kreatif terima kasih staf bantu
Le Aman Workspace,http://desty.page,81388141410,Coworking space,59,4.9,106.7992444,-6.2631786,Yes,Yes,Yes,No,No,No,375000,15,Medium,Duta Mas Fatmawati Blok D2. 9 -10. Jl. Fatmawati No.39. Jakarta. Daerah Khusus Ibukota Jakarta 12150,Jakarta Selatan,"Tempat nya nyaman, mudah dijangkau  dan akses yg mudah ke pusat kota karena dekat dengan stasiun MRT, dan yg satu lagi Free Coffee and Tea,  Tempatnya nyaman bngt buat fokus kerja, ngerjain project dan meeting, Sewa Ruang Meeting di hari Minggu, cocok banget. Ruang lega sehingga tidak berhimpitan 15 Peserta ok banget, Coworking space yg enak dan nyaman, Suasananya juga enak buat kerja, Harganya juga terjangkau dan banyak makanan yg enak di food court itc fatmawati, Tempat yang nyaman, mudah diakses karena ada di tengah kota",https://s3-ap-southeast-1.amazonaws.com/xwork-gallery/rooms/images/5931/1626075956.05/5931_1626075956.05.lg.JPEG,tempat nyaman mudah dijangkau dan akses yg mudah ke pusat kota karena dekat dengan stasiun mrt dan yg satu lagi free coffee and tea tempat nyaman bngt buat fokus kerja ngerjain project dan meeting sewa ruang meeting di hari minggu cocok banget ruang lega sehingga tidak berhimpitan peserta ok banget coworking space yg enak dan nyaman suasana juga enak buat kerja harga juga terjangkau dan banyak makanan yg enak di food court itc fatmawati tempat yang nyaman mudah diakses karena ada di tengah kota,nyaman mudah jangkau akses yg mudah pusat kota stasiun mrt yg free coffee and tea nyaman bngt fokus ngerjain project meeting sewa ruang meeting minggu cocok banget ruang lega berhimpitan ok banget coworking space yg nyaman suasana harga jangkau makan yg food court itc fatmawati nyaman mudah akses kota
CEO SUITE AXA Tower,http://ceosuite.com,2130053500,Business center,37,4.8,106.8292895,-6.2247829,Yes,Yes,No,No,Yes,Yes,200000,30,Medium,AXA Tower. 45th Floor. Jl. Prof. DR. Satrio No.Kav. 18. RT.14/RW.4. Kuningan. Kuningan City. Setiabudi. South Jakarta City. Jakarta 12940,Jakarta Selatan,"Tempat kantor terbaik di sekitar Kuningan. Staf mereka sangat profesional. 5 bintang dan layanan yang sangat baik, Saya suka pemandangan dari sudut kantor saya, salah satu yang terbaik di industri kantor layanan, Para karyawan memiliki etos kerja profesional dan ruangan kerja sangat elegan, saya harus mengatakan kantor ini memiliki suasana bintang 5, lounge yang nyaman, dan staf profesional dengan lokasi yang strategis, Tempat kantor terbaik di sekitar Kuningan. Staf mereka sangat profesional. 5 bintang dan layanan yang sangat baik",https://www.ceosuite.com/wp-content/uploads/2017/10/Jakarta-AXA-Tower-Boardroom-1.jpg?x19230,tempat kantor terbaik di sekitar kuningan staf mereka sangat profesional bintang dan layanan yang sangat baik saya suka pemandangan dari sudut kantor saya salah satu yang terbaik di industri kantor layanan para karyawan memiliki etos kerja profesional dan ruangan kerja sangat elegan saya harus mengatakan kantor ini memiliki suasana bintang lounge yang nyaman dan staf profesional dengan lokasi yang strategis tempat kantor terbaik di sekitar kuningan staf mereka sangat profesional bintang dan layanan yang sangat baik,kantor kuningan staf profesional bintang layan suka pandang sudut kantor salah industri kantor layan karyawan milik etos profesional ruang elegan kantor milik suasana bintang lounge nyaman staf profesional lokasi strategis kantor kuningan staf profesional bintang layan
